promedio_academico,materias_reprobadas,asistencia,condicion_beca,distancia_campus,horas_trabajo_semanales,semestre_actual,modalidad,abandono
5.78,0,0.708,0,1.74,0,4,0,0
8.82,0,0.814,1,8.52,0,2,0,0
6.08,1,0.765,0,28.01,0,5,0,1
4.56,2,0.593,0,7.25,0,9,0,1
6.11,0,0.794,0,1.38,0,2,1,0
7.0,2,0.836,0,32.12,0,6,0,0
6.17,2,0.621,0,15.09,0,4,1,1
9.67,0,0.816,0,3.98,21,6,0,0
7.7,1,0.95,1,5.75,18,8,1,1
8.92,1,0.523,0,3.88,0,6,1,0
8.44,1,0.809,0,57.14,0,2,0,0
4.14,4,0.898,1,4.75,31,8,1,1
5.97,2,0.935,1,4.92,14,7,0,1
2.68,1,0.613,0,17.75,27,2,0,1
5.6,5,0.722,0,48.93,48,7,1,1
8.06,0,0.786,0,37.87,0,4,0,0
5.32,0,0.939,1,25.95,31,2,0,1
5.61,2,1.0,0,7.08,19,4,0,1
6.96,2,0.814,1,8.27,32,9,1,1
7.6,1,0.973,1,3.63,0,3,0,0
6.0,4,0.754,0,2.11,47,4,0,1
6.14,0,0.728,0,4.85,11,1,1,0
7.63,4,0.943,0,9.76,22,5,0,1
6.86,2,1.0,0,0.79,25,3,1,1
6.1,2,1.0,0,10.28,0,1,1,0
6.94,1,0.673,0,2.72,38,6,1,1
6.61,3,0.63,1,27.39,38,6,0,0
6.86,2,1.0,0,41.04,32,4,0,1
9.3,0,0.462,0,23.23,0,3,0,0
6.07,3,0.749,0,16.11,21,8,1,1
5.74,0,0.687,1,9.87,43,3,0,1
8.48,1,0.992,0,7.54,0,7,1,0
5.51,1,0.801,0,2.65,24,7,1,1
8.91,0,0.861,1,50.03,40,9,1,0
6.23,1,0.807,0,4.43,0,3,1,0
6.6,3,0.742,0,2.32,0,6,1,1
7.53,0,0.868,1,8.71,0,7,0,0
8.2,0,0.639,0,43.43,0,7,0,0
7.9,1,0.624,0,2.5,0,3,1,0
6.21,3,0.715,0,11.4,0,2,0,1
5.99,1,0.751,0,3.31,0,5,0,1
6.99,1,0.671,0,26.86,32,1,0,1
6.69,1,0.797,0,3.27,0,2,0,1
5.6,0,1.0,0,23.07,0,3,0,0
7.08,2,0.74,1,8.97,26,4,0,0
7.89,1,0.916,0,11.45,0,4,1,0
6.73,0,0.735,0,2.32,43,1,1,1
8.69,1,0.956,0,23.9,45,1,0,0
7.07,2,0.607,0,21.7,13,3,1,1
6.28,0,0.915,1,4.65,0,8,0,0
6.64,2,0.833,0,2.58,21,2,1,1
5.72,0,0.842,0,6.28,0,3,0,0
5.06,4,0.591,1,0.96,23,6,0,1
7.17,0,0.71,1,3.76,0,9,0,0
5.31,1,0.985,0,6.84,0,5,1,1
6.0,1,0.551,0,23.31,34,5,0,1
6.38,2,0.719,0,17.57,0,8,0,1
7.04,1,0.848,0,5.81,0,9,1,0
7.15,1,1.0,0,32.89,31,5,0,1
6.58,2,0.961,1,2.81,20,4,1,0
3.8,3,0.986,0,29.4,40,1,1,1
6.21,1,0.71,1,17.7,43,6,0,1
5.41,0,0.809,1,31.29,0,1,0,0
6.34,2,0.668,0,17.39,29,6,0,1
7.89,1,0.734,1,13.59,0,2,0,0
7.63,0,0.796,0,27.17,0,5,0,0
6.81,3,0.666,1,11.6,0,7,1,1
7.21,2,0.977,1,7.07,34,6,1,0
4.42,3,0.786,0,18.08,40,4,0,1
6.77,1,0.725,1,5.6,15,4,0,0
7.37,0,0.647,0,3.29,48,4,0,1
5.51,3,0.968,1,49.7,0,2,0,1
7.07,1,0.877,0,11.07,44,2,1,1
5.97,4,0.735,0,2.43,0,9,0,1
7.9,1,0.598,0,3.36,42,4,0,1
8.05,0,0.898,0,25.57,0,2,1,0
5.75,1,0.754,0,14.84,11,4,0,0
8.55,2,0.921,0,14.16,29,3,1,0
6.23,1,0.781,0,8.75,29,9,1,1
9.39,1,0.991,0,34.9,10,1,1,0
5.81,0,0.77,1,25.28,43,4,1,1
6.59,1,1.0,1,22.24,16,7,0,0
6.8,0,0.898,0,21.87,0,1,0,0
5.45,1,0.577,0,3.57,0,5,0,1
4.08,3,0.734,0,35.21,26,2,0,1
5.38,4,1.0,0,25.5,0,7,1,1
8.01,0,0.82,0,9.2,32,6,0,0
6.04,1,0.7,0,11.48,0,9,1,0
6.04,3,0.793,1,20.45,24,8,1,1
8.62,1,0.952,0,5.13,0,4,0,0
7.19,0,0.836,0,5.26,0,2,1,0
7.48,1,0.751,0,55.71,34,4,0,1
7.69,0,0.526,0,7.25,33,2,0,1
5.23,4,1.0,0,3.43,35,6,1,0
6.67,3,0.641,0,10.71,0,7,1,1
6.71,0,0.938,1,10.59,19,4,1,0
6.28,2,0.547,0,1.69,0,9,1,1
4.97,4,0.697,1,24.67,41,2,0,1
7.15,0,0.65,0,3.86,0,1,0,0
4.18,3,0.908,1,3.41,0,9,0,0
5.19,0,0.693,0,8.12,47,7,0,1
5.37,2,0.865,0,0.49,0,7,0,0
5.92,1,1.0,0,0.56,34,7,0,0
7.68,0,0.798,0,11.39,29,3,1,1
8.82,1,0.646,0,50.45,41,4,0,1
8.91,1,0.733,0,16.36,0,9,0,1
7.63,1,0.629,0,0.55,39,5,1,1
7.12,1,0.906,1,21.8,0,8,0,0
3.23,3,0.884,0,13.11,29,4,1,1
8.08,0,0.825,1,18.11,0,2,0,0
10.0,0,0.621,1,0.92,28,3,0,0
7.13,3,0.45,0,3.01,0,7,1,1
6.83,3,0.726,1,22.46,0,5,1,0
7.48,1,0.731,0,3.79,0,7,0,0
7.52,2,0.633,1,8.82,0,9,1,1
6.69,1,0.645,0,0.92,18,3,0,1
5.98,2,0.723,0,0.64,15,7,1,1
7.01,0,0.898,0,36.3,38,4,0,0
4.58,1,0.466,0,36.09,19,7,0,1
3.86,2,0.705,1,3.47,21,1,0,0
8.41,0,0.915,1,15.13,0,1,0,0
5.86,1,0.453,0,7.52,28,9,0,1
7.5,3,0.756,0,28.83,26,5,1,1
8.68,1,0.785,1,35.95,0,7,0,0
8.21,1,0.795,0,31.79,36,3,0,1
5.73,0,1.0,0,8.53,32,5,1,0
6.95,0,0.776,1,3.82,32,1,0,0
4.87,2,0.676,1,37.37,0,7,0,1
6.35,1,0.712,0,8.1,44,9,1,1
7.96,0,0.786,0,46.04,14,8,0,0
6.54,1,0.642,1,6.83,38,9,1,0
2.51,6,0.548,1,22.84,15,9,1,1
3.35,5,0.659,1,7.64,29,3,0,1
5.38,2,0.737,1,6.21,18,9,0,1
8.37,2,1.0,0,39.35,31,5,1,1
6.78,2,0.684,0,20.11,17,6,0,1
6.7,4,0.689,1,47.8,29,6,0,1
4.66,3,0.573,0,22.68,11,1,0,1
6.71,2,0.981,0,2.27,0,2,0,0
3.31,3,0.835,0,1.22,0,6,0,1
6.98,0,0.901,1,3.88,0,7,1,0
8.15,1,0.85,0,7.27,0,2,1,0
5.36,2,0.673,1,5.13,0,5,0,1
8.02,0,0.811,1,27.57,30,5,0,0
5.49,2,0.632,0,0.02,0,3,0,1
6.71,1,0.851,1,1.7,44,2,1,0
6.31,0,0.96,0,18.97,22,7,0,1
6.63,2,1.0,0,5.97,11,5,1,0
8.64,0,0.647,1,10.72,17,3,0,0
7.73,0,0.965,0,21.59,26,3,0,0
5.55,1,0.912,1,20.7,0,4,0,0
2.63,3,0.605,0,23.52,0,2,1,1
7.75,1,0.817,1,26.89,46,5,0,0
7.57,0,0.984,1,59.06,31,7,0,0
6.73,0,0.686,0,6.18,18,7,1,1
5.72,3,0.846,0,1.13,0,4,0,1
8.74,1,0.756,0,47.84,0,1,1,0
4.0,1,0.833,0,10.2,36,5,0,1
5.4,1,0.671,0,27.11,34,8,0,1
4.45,1,0.794,0,14.89,0,9,1,1
7.02,1,0.852,0,1.6,24,8,0,1
5.85,3,0.699,0,10.85,25,2,0,1
9.46,0,0.656,0,31.71,43,4,0,1
6.52,2,0.77,0,8.98,0,9,1,1
6.17,2,0.705,1,0.46,21,6,1,1
7.3,1,0.785,1,1.76,0,5,1,0
5.47,0,0.667,1,0.19,0,2,0,0
4.98,5,0.914,0,7.99,0,6,0,1
7.25,3,0.821,0,17.45,0,5,0,0
5.82,1,0.569,0,8.54,42,3,0,1
7.87,1,0.998,0,2.9,24,9,1,0
6.97,2,0.655,0,38.12,25,6,1,1
6.66,4,0.729,0,1.88,23,8,1,1
6.6,1,0.953,0,16.14,16,4,0,0
6.38,2,0.661,1,27.43,27,4,1,1
7.07,1,1.0,1,6.4,0,8,1,0
5.94,2,0.431,1,11.23,0,2,0,0
3.76,2,0.347,0,31.38,24,5,1,1
6.61,1,0.814,1,29.93,19,6,1,0
5.86,3,0.565,1,16.98,0,3,1,1
4.57,2,0.792,0,6.56,0,4,0,1
7.59,2,0.654,0,0.44,31,6,0,0
5.97,0,0.735,0,38.22,0,4,1,0
4.06,2,0.823,0,1.72,0,9,0,1
6.4,1,0.795,1,1.92,16,7,1,0
5.56,1,0.742,0,34.52,0,9,1,1
4.12,3,0.709,1,15.44,18,3,1,1
6.94,3,0.748,1,14.26,0,5,1,1
5.03,0,0.677,0,13.42,13,5,1,1
7.51,0,0.957,1,4.33,38,4,1,0
5.24,3,0.62,1,17.66,12,3,0,1
7.87,1,0.821,1,22.2,11,9,1,0
7.1,1,0.83,1,5.45,0,4,0,0
6.65,0,0.513,0,0.08,23,5,0,1
5.44,0,0.828,0,10.43,31,4,0,0
7.77,1,0.95,1,13.54,28,7,1,0
7.2,3,0.747,0,34.17,35,3,0,1
5.99,2,0.881,0,8.76,0,7,0,0
7.31,3,0.77,1,44.76,0,6,0,0
5.06,3,0.804,0,25.02,22,1,1,1
